Screenshot,Publication Name,Authors,Published On,Link to download,Innovation,Objective,Sector,Region,Methodology,Abstract
Nowcasting.png,Nowcasting Disaster Damage,"Yury Kryvasheyeu, Haohui Chena, Nick Obradovich, Esteban Moroe, Pascal Van Hentenryck, James Fowler, and Manuel Cebrian",2015,http://arxiv.org/ftp/arxiv/papers/1504/1504.06827.pdf,Data Analysis,Effectiveness,Public Safety,North America,"Quantitative Analysis, Statistical Modeling","Could social media data aid in disaster response and damage assessment? Countries face both an increasing frequency and intensity of natural disasters due to climate change. And during such events, citizens are turning to social media platforms for disaster-related communication and information. Social media improves situational awareness, facilitates dissemination of emergency information, enables early warning systems, and helps coordinate relief efforts. Additionally, spatiotemporal distribution of disaster-related messages helps with real-time monitoring and assessment of the disaster itself. Here we present a multiscale analysis of Twitter activity before, during, and after Hurricane Sandy. We examine the online response of 50 metropolitan areas of the United States and find a strong relationship between proximity to Sandy’s path and hurricanerelated social media activity. We show that real and perceived threats – together with the physical disaster effects – are directly observable through the intensity and composition of Twitter’s message stream. We demonstrate that per-capita Twitter activity strongly correlates with the per-capita economic damage inflicted by the hurricane. Our findings suggest that massive online social networks can be used for rapid assessment (“nowcasting”) of damage caused by a large-scale disaster."
Preparing for Responsible.png,Preparing for Responsible Sharing of Clinical Trial Data,"Michelle M. Mello, J.D., Ph.D., Jeffrey K. Francer, J.D., M.P.P., Marc Wilenzick, J.D., Patricia Teden, M.B.A., Barbara E. Bierer, M.D., and Mark Barnes, J.D., LL.M",10/24/2013,http://www.nejm.org/doi/full/10.1056/NEJMhle1309073,Open Data,Access,Healthcare,North America,Conceptual Framework,"Data from clinical trials, including participant-level data, are being shared by sponsors and investigators more widely than ever before. Some sponsors have voluntarily offered data to researchers, some journals now require authors to agree to share the data underlying the studies they publish, the Office of Science and Technology Policy has directed federal agencies to expand public access to data from federally funded projects, and the European Medicines Agency (EMA) and U.S. Food and Drug Administration (FDA) have proposed the expansion of access to data submitted in regulatory applications. Sharing participant-level data may bring exciting benefits for scientific research and public health but may also have unintended consequences. Thus, expanded data sharing must be pursued thoughtfully.
We provide a suggested framework for broad sharing of participant-level data from clinical trials and related technical documents. After reviewing current data-sharing initiatives, potential benefits and risks, and legal and regulatory implications, we propose potential governing principles and key features for a system of expanded access to participant-level data and evaluate several governance structures."
Does Twitter.png,Does Twitter Increase Perceived Police Legitimacy?,"Stephan G. Grimmelikhuijsen, Albert J. Meijer",4/20/2015,http://onlinelibrary.wiley.com/doi/10.1111/puar.12378/epdf,Citizen Engagement and Crowdsourcing,"Legitimacy, Participation",Public Safety,Europe,Statistical Modeling,"Social media use has become increasingly popular among police forces. The literature suggests that social media use can increase perceived police legitimacy by enabling transparency and participation. Employing data from a large and representative survey of Dutch citizens (N = 4,492), this article tests whether and how social media use aﬀects perceived legitimacy for a major social media platform, Twitter. A negligible number of citizens engage online with the police, and thus the ﬁ ndings reveal no positive relationship between participation and perceived legitimacy. The article shows that by enhancing transparency, Twitter does increase perceived police legitimacy, albeit to a limited extent. Subsequent analysis of the mechanism shows both an aﬀective and a cognitive path from social media use to legitimacy. Overall, the ﬁndings suggest that establishing a direct channel with citizens and using it to communicate successes does help the police strengthen their legitimacy, but only slightly and for a small group of interested citizens."
Transparency in Search.png,Transparency in Search of a Theory,Mark Fenster,2015,http://est.sagepub.com/content/18/2/150.full.pdf+html,Open Data,"Effectiveness, Legitimacy",,,Conceptual Framework,"Transparency’s importance as an administrative norm seems self-evident. Prevailing ideals of political theory stipulate that the more visible government is, the more democratic, accountable, and legitimate it appears. The disclosure of state information consistently disappoints, however: there is never enough of it, while it often seems not to produce a truer democracy, a more accountable state, better policies, and a more contented populace. This gap between theory and practice suggests that the theoretical assumptions that provide the basis for transparency are wrong. This article argues that transparency is best understood as a theory of communication that excessively simplifies and thus is blind to the complexities of the contemporary state, government information, and the public. Taking them fully into account, the article argues, should lead us to question the state’s ability to control information, which in turn should make us question not only the improbability of the state making itself visible, but also the improbability of the state keeping itself secret."
 Overcoming Barriers.png,Overcoming Barriers to Data Sharing in Public Health: A Global Perspective ,Jussi Sane and Michael Edelstein,2015,http://www.chathamhouse.org/publication/overcoming-barriers-data-sharing-public-health-global-perspective,Open Data,"Transparency, Effectiveness",Healthcare,,Conceptual Framework,"The interaction between barriers to data sharing in public health is complex, and single solutions to single barriers are unlikely to be successful. Political, economic and legal obstacles will be the most challenging to overcome.

Public health data sharing occurs extensively as a collection of subregional and regional surveillance networks. These existing networks have often arisen as a consequence of a specific local public health crisis, and should be integrated into any global framework.

Data sharing in public health is successful when a perceived need is addressed, and the social, political and cultural context is taken into account.

A global data sharing legal framework is unlikely to be successful. A global data governance or ethical framework, supplemented by local memoranda of understanding that take into account the local context, is more likely to succeed.

The International Health Regulations (IHR) should be considered as an infrastructure for data sharing. However, their lack of enforcement mechanism, lack of minimum data sets, lack of capacity assessment mechanism, and potential impact on trade and travel following data sharing need to be addressed.

Optimal data sharing does not equate with open access for public health data.
"
Why a Nudge.png,Why a Nudge is Not Enough: A social identity critique of governanceby stealth,"Frank Mols, S. Alexander Haslam, Jolanda Jetten, and Niklas K. Steffens",2015,http://onlinelibrary.wiley.com/doi/10.1111/1475-6765.12073/abstract,Behavioral Science and Nudges,Effectiveness,,Australia,Conceptual Framework,"Policy makers can use four different modes of governance: ‘hierarchy’, ‘markets’, ‘networks’ and ‘persuasion’. In this article, it is argued that ‘nudging’ represents a distinct (fifth) mode of governance. The effectiveness of nudging as a means of bringing about lasting behaviour change is questioned and it is argued that evidence for its success ignores the facts that many successful nudges are not in fact nudges; that there are instances when nudges backfire; and that there may be ethical concerns associated with nudges. Instead, and in contrast to nudging, behaviour change is more likely to be enduring where it involves social identity change and norm internalisation. The article concludes by urging public policy scholars to engage with the social identity literature on ‘social influence’, and the idea that those promoting lasting behaviour change need to engage with people not as individual cognitive misers, but as members of groups whose norms they internalise and enact."
 Crowdsourced Early.png,Crowdsourced earthquake early warning,"Sarah E. Minson, Benjamin A. Brooks, Craig L. Glennie, Jessica R. Murray, John O. Langbein, Susan E. Owen, Thomas H. Heaton, Robert A. Iannucci, Darren L. Hauser",4/10/2015,http://advances.sciencemag.org/content/1/3/e1500036,Citizen Engagement and Crowdsourcing,Effectiveness,Public Safety,,Quantitative Analysis,"Earthquake early warning (EEW) can reduce harm to people and infrastructure from earthquakes and tsunamis, but it has not been implemented in most high earthquake-risk regions because of prohibitive cost. Common consumer devices such as smartphones contain low-cost versions of the sensors used in EEW. Although less accurate than scientific-grade instruments, these sensors are globally ubiquitous. Through controlled tests of consumer devices, simulation of an Mw (moment magnitude) 7 earthquake on California’s Hayward fault, and real data from the Mw 9 Tohoku-oki earthquake, we demonstrate that EEW could be achieved via crowdsourcing."
 A Process Model.png,A Process Model for Crowdsourcing Design: A Case Study in Citizen Science,"Kazjon Grace, Mary Lou Maher, Jennifer Preece, Tom Yeh, Abigale Stangle, and Carol Boston",2015,http://link.springer.com/chapter/10.1007%2F978-3-319-14956-1_14,Citizen Engagement and Crowdsourcing,Participation,,North America,"Case Analysis, Conceptual Framework","Crowdsourcing design has been applied in various areas of graphic design, software design, and product design. This paper draws on those experiences and research in diversity, creativity and motivation to present a process model for crowdsourcing experience design. Crowdsourcing experience design for volunteer online communities serves two purposes: to increase the motivation of participants by making them stakeholders in the success of the project, and to increase the creativity of the design by increasing the diversity of expertise beyond experts in experience design. Our process model for crowdsourcing design extends the meta-design architecture, where for online communities is designed to be iteratively re-designed by its users. We describe how our model has been deployed and adapted to a citizen science project where nature preserve visitors can participate in the design of a system called NatureNet. The major contribution of this paper is a model for crowdsourcing experience design and a case study of how we have deployed it for the design and development of NatureNet."
A New Source.png,A New Source of Data for Public Health Surveillance: Facebook Likes,"Steven Gittelman, Victor Lange, Carol Gotway Crawford, Catherine Okoro, Eugene Lieb, Satvinder S Dhingra, Elaine Trimarchi",,http://www.jmir.org/2015/4/e98/,Data Analysis,Effectiveness,Healthcare,North America,"Statistical Modeling, Quantitative Analysis","Background: Investigation into personal health has become focused on conditions at an increasingly local level, while response rates have declined and complicated the process of collecting data at an individual level. Simultaneously, social media data have exploded in availability and have been shown to correlate with the prevalence of certain health conditions.

Objective: Facebook likes may be a source of digital data that can complement traditional public health surveillance systems and provide data at a local level. We explored the use of Facebook likes as potential predictors of health outcomes and their behavioral determinants.

Methods: We performed principal components and regression analyses to examine the predictive qualities of Facebook likes with regard to mortality, diseases, and lifestyle behaviors in 214 counties across the United States and 61 of 67 counties in Florida. These results were compared with those obtainable from a demographic model. Health data were obtained from both the 2010 and 2011 Behavioral Risk Factor Surveillance System (BRFSS) and mortality data were obtained from the National Vital Statistics System.
Results: Facebook likes added significant value in predicting most examined health outcomes and behaviors even when controlling for age, race, and socioeconomic status, with model fit improvements (adjusted R2) of an average of 58% across models for 13 different health-related metrics over basic sociodemographic models. Small area data were not available in sufficient abundance to test the accuracy of the model in estimating health conditions in less populated markets, but initial analysis using data from Florida showed a strong model fit for obesity data (adjusted R2=.77).

Conclusions: Facebook likes provide estimates for examined health outcomes and health behaviors that are comparable to those obtained from the BRFSS. Online sources may provide more reliable, timely, and cost-effective county-level data than that obtainable from traditional public health surveillance systems as well as serve as an adjunct to those systems."
Citizen Science for.png,Citizen Science for Citizen Access to Law,"Michael Curtotti, Wayne Weibel, Eric McCreath, Nicolas Ceynowa, Sara Frug, and Tom R Bruce",2015,https://ojs.law.cornell.edu/index.php/joal/article/view/34/54,Citizen Engagement and Crowdsourcing,Effectiveness,,North America,"Comparative Analysis, Quantitative Analysis","Over 2014, the Cornell University Legal Information Institute and the Australian National University worked with users of the Cornell LII site in a citizen science project to collect over 43,000 crowdsourced assessments of the readability of legal and other sentences. Readers (“citizen scientists”) on legislative pages of the LII site were asked to rate passages from the United States Code and the Code of Federal Regulations and other texts for readability and other characteristics. They were also asked to provide information about themselves as part of the audience that uses legislation online. The overall aim of the project was to develop empirical insights into characteristics of law that may make it easy or hard to read for the audience that use it. Also, the project aimed to assess machine learning for automatically predicting readability of legal sentences at sentence level. A major focus of this paper is to report results and insights from demographic data collected during the study. Understanding the audience which reads the law is directly relevant to readability - as the relevant question is readable by whom? Who are the citizens for whom “citizen access” might be enhanced? The paper also describes methods used to rank sentences by readability, using the data provided by citizen scientists. Finally, the paper reports initial tests on the viability of machine learning as a means of predicting readability in advance. The exploratory machine learning results reported here will be extended in further work reported in a future paper. The research provides insight into who uses legal rules and how they do so. We draw conclusions as to the current readability of law, as well as the spread of readability among legal rules. The research creates a dataset of legal rules labelled for readability by human judges. As far as we are aware, this research project is the largest ever study of readability of regulatory language and the first research which has applied crowdsourcing to such an investigation."
Crowdsourcing Pedestrian.png,Crowdsourcing Pedestrian and Cyclist Activity Data,Amy Smith,2015,http://www.pedbikeinfo.org/cms/downloads/PBIC_WhitePaper_Crowdsourcing.pdf,"Citizen Engagement and Crowdsourcing, Data Analysis",Effectiveness,Transportation,North America,Comparative Analysis,"This paper considers how crowdsourcing applications and crowdsourced data are currently being applied, as well as potential new uses for active transportation research and planning efforts of various types.

The objectives of this white paper are to review existing crowdsourced bicycle and pedestrian data resources and crowdsourcing tools; discuss potential planning implementations of crowdsourced data for a sample of bicycle and pedestrian project types; and provide examples of how crowdsourcing is currently being used to inform decision-making. Potential issues related to crowdsourced data are also considered (e.g., quality, privacy concerns, participation rates, bias). The research presented here highlights a decreasing skepticism over the quality of volunteered, user-generated data provided by amateurs (as opposed to professionals) in light of a desire to open the lines of communication between the planning world and those affected by planning decisions, directly addressing (rather than being discouraged by) data limitations. The initiatives surrounding progressive data collection, management, and analysis are further reflected in the numerous conferences, meetups, and other events fostering collaboration between planners, developers, data scientists and others interested in applying critical thought and innovation in planning.

While this paper reviews existing crowdsourcing techniques and their current applications in planning, the pace of technological change and rate of adoption in planning indicates that planners will continue to develop and apply innovative approaches like crowdsourcing in response to continually changing community needs. This paper focuses on examples of current uses of crowdsourced data, crowdsourcing data suggestions, and data considerations."
Innovation spaces.png,Innovation spaces: transforming humanitarian practice in the United Nations,Louise Bloom and Romy Faulkner,2015,http://www.rsc.ox.ac.uk/files/publications/working-paper-series/wp107-innovation-spaces.pdf/,Labs and Experimentation,Effectiveness,,,Comparative Analysis,"Since 2009 there has been a growing interest in defining and operationalising innovation for use in the humanitarian context. The increase in scale of new crises, the urbanisation of many displaced populations, and stretched financing for humanitarian assistance are forcing international aid agencies to think and act in new ways. Along with other international humanitarian actors, several United Nations (UN) bodies are engaging with new tools and practices to bring innovation to the forefront of their work. Within these agencies, there has been a growing movement to establish ‘innovation spaces’ or ‘innovation labs’. These labs take different forms – some virtual, others physical – and each is created with its own motivations unique to the context in which it operates. Despite the variation, there is a growing trend in the UN system, and more broadly in the international humanitarian community, to create labs as a way to engage in and facilitate innovation practice. This research seeks to understand the way in which innovation labs across several UN agencies are being used to foster new ways of operating within the UN’s bureaucratic structures. We ask four key questions: What form do innovation labs in UN agencies take? What motivated their initiation? What are their aims and objectives? What impact have they had and how is the impact being measured? As innovation practice gains momentum, we reflect on the future of innovation spaces as a way to foster innovation within the UN system. We conclude with six key recommendations."
 Does Crowdsourcing.png,Does Crowdsourcing Legislation Increase Political Legitimacy? The Case of Avoin Ministeri in Finland,"Henrik Serup Christensen, Maija Karjalainen and Laura Nurminen",2015,http://onlinelibrary.wiley.com/doi/10.1002/poi3.80/abstract,Citizen Engagement and Crowdsourcing,"Legitimacy, Participation",,Europe,Survey,"Crowdsourcing legislation gives ordinary citizens, rather than political and bureaucratic elites, the chance to cooperate to come up with innovative new policies. By increasing popular involvement, representative democracies hope to restock dwindling reserves of political legitimacy. However, it is still not clear how involvement in legislative decision making affects the attitudes of the participants. It is therefore of central concern to establish whether crowdsourcing can actually help restore political legitimacy by creating more positive attitudes toward the political system. This article contributes to this research agenda by examining the developments in attitudes among the users on the Finnish website Avoin Ministeriö (“Open Ministry”) which orchestrates crowdsourcing of legislation by providing online tools for deliberating ideas for citizens' initiatives. The developments in attitudes are investigated with a two-stage survey of 421 respondents who answered questions concerning political and social attitudes, as well as political activities performed. The results suggest that while crowdsourcing legislation has so far not affected political legitimacy in a positive manner, it has the potential to do so."
